"","labsampnum","pedon_key","site_key","latitude","longitude","hzn_desgn","hzn_top","hzn_bot","horizon_ap","land_cover_simple","clay_total","claysilt","ph_h2o","al_fe","ca_mg","MCI","ET","prcp_mean","temp_mean","NPP","AI","AI_factor","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","fraction_quant_method","WS_mgpg_OC","POM_mgpg_OC","MAOM_mgpg_OC","fMAOM"
"902","05N00065",32234,32115,39.16,-119.89,"A1",2,14,"0","grassland",5.8,17.7,6.3,0.15,9.18,-0.929628470890023,1448,1356.11250349879,4.2063894,0.2816,0.5383,"Arid",73.3546440340909,"high","MIR prediction",20.65666776,5.5535293475,15.1031384125,0.73115076390714
"903","19N00032",75838,136434,46.27,-118.19,"A1",0,15,"0","cropland",6.5,58.2,6.9,0.145,11.81,-0.811747470131582,1424,680.655000719242,11.177693,0.464636363636364,0.32,"Arid",33.589225863334,"low","MIR prediction",15.6067757625,4.661316955,10.9454588075,0.701327357685229
"904","16N02715",74443,135039,40.85,-104.69,"A",0,23,"0","grassland",21.6,42.1,8.2,0.095,55.55,1.21262877230825,1722,499.070000316948,8.44757208,0.216159090909091,0.2107,"Arid",51.8662098843444,"high","MIR prediction",11.2113527775,5.461001125,5.7503516525,0.512904353883177
"905","01N06062",28501,28440,61.52,-159.77,"AE",8,13,"0","forest",6.2,66.5,4.9,0.85,2.8,0.109621738030959,592,611.879998963326,-0.6458027,0.472413636363636,0.8166,"Humid",135.58194908497,"high","MIR prediction",64.0507615925,11.9872219275,52.063539665,0.81284809689283
"906","01N05433",28475,28414,35.56,-83.72,"A",0,18,"0","forest",27.6,67.3,4,1.545,0.43,1.33366128510146,1162,3344.86999696493,7.76346025,0.896086363636364,1.5864,"Humid",73.3966718878558,"high","MIR prediction",65.769756815,15.69943503,50.070321785,0.761297049126089
"907","04N04354",31328,31209,44.65,-118.42,"A",8,20,"0","forest",5.6,64.3,6.4,1.43,11.91,1.668708639113,1233,1054.30000042915,3.5671865,0.548986363636364,0.4119,"Arid",31.9762449311541,"low","MIR prediction",17.5545224275,1.854913835,15.6996085925,0.894334132833247
"908","12N00193",54821,54020,40.9,-96.64,"Ap1",0,10,"1","cropland",34.1,95.7,5.8,0.25,19.66,-0.228858687051936,1426,1089.15750303864,10.879145,0.413545454545455,0.5392,"Arid",28.9525566074962,"low","MIR prediction",11.9731981825,1.2771928925,10.69600529,0.893329010926526
"909","05N03390",33458,33308,37.35,-89.1,"Ap",0,10,"1","cropland",20.8,98.5,4.8,0.4,12.21,-0.301085299230599,1347,1548.95749753714,13.77224915,0.695071428571429,0.8911,"Humid",26.0918215193711,"low","MIR prediction",18.1356796575,5.7313416075,12.40433805,0.683974258713276
"910","07N03352",34577,34363,40.93,-90.72,"Ap",0,23,"1","cropland",23.4,97.7,6.1,0.36,16.54,-0.168209987224668,1245,1421.53499933332,10.3548575,0.513363636363636,0.7625,"Humid",34.0280465835842,"low","MIR prediction",17.4687617325,2.3037902775,15.164971455,0.868119428682007
"911","02N02861",28918,28845,47.91,-114.73,"Bw",5,25,"0","grassland",11.9,67.3,6.1,0.11,6.92,-1.11626471207774,1154,775.022500295192,5.01749325,0.547654545454546,0.4484,"Arid",19.7629557352014,"low","MIR prediction",10.82327254,4.522147215,6.301125325,0.582183004420584
"912","01N05964",30449,30333,60.52,-150.68,"E",6,12,"0","forest",7.3,74.3,4.9,0.43,4.46,-0.619042355049071,588,670.480001198594,2.29505195,0.4945,1.3924,"Humid",99.7946124165824,"high","MIR prediction",49.34843584,15.255913185,34.092522655,0.690853156228426
"913","11N02503",55526,54724,34.46,-102.65,"Ap",0,12,"1","cropland",26.2,54.5,8.2,0.125,48.16,0.912126065374408,2142,550.185000237077,13.77487685,0.341413636363636,0.203,"Arid",39.7559174322003,"low","MIR prediction",13.5732123375,4.2275643125,9.345648025,0.6885361985519
"914","15N02026",71965,132650,48.62,-122.29,"A",8,20,"0","forest",14.3,63.9,4.9,1.365,7.07,1.30881932406405,914,2359.99999956787,7.4907669,0.783236363636364,1.6841,"Humid",107.236616779447,"high","MIR prediction",83.991617775,43.93101008,40.060607695,0.476959591400131
"915","04N03454",32021,31902,48.56,-96.4,"Ap",0,19,"1","cropland",19.7,44.9,7.8,0.155,51.43,1.12846602263545,944,649.064997732639,3.8100875,0.52965,0.5291,"Arid",37.1245990276598,"low","MIR prediction",19.663043875,2.2766113475,17.3864325275,0.884218772944176
"916","04N02398",30900,30783,48.47,-123.04,"A1",0,10,"0","forest",14.5,42.5,6.4,0.625,20.75,0.546442805447205,880,992.452499411069,10.0256878,0.828786363636364,0.6731,"Humid",51.602829910658,"high","MIR prediction",42.767721755,8.265647485,34.50207427,0.806731639053613
